           Exposure                          Description                       Date                 Temp
20221216_0000009_02                            DEXfl0538 2022-12-16T01:34:04.719741     4.57666666666667
20221216_0000009_03                            DEXfl0538 2022-12-16T01:34:04.719741     4.57666666666667
20221216_0000010_01                            DEXfl1837 2022-12-16T02:02:24.481138     4.61888888888889
20221216_0000010_02                            DEXfl1837 2022-12-16T02:02:24.481138     4.61888888888889
20221216_0000010_03                            DEXfl1837 2022-12-16T02:02:24.481138     4.61888888888889
20221216_0000011_01                            DEXfl0719 2022-12-16T02:33:16.864197     4.27222222222222
20221216_0000011_02                            DEXfl0719 2022-12-16T02:33:16.864197     4.27222222222222
20221216_0000011_03                            DEXfl0719 2022-12-16T02:33:16.864197     4.27222222222222
20221216_0000012_01                            DEXfl0731 2022-12-16T03:00:57.755800     3.84833333333333
20221216_0000012_02                            DEXfl0731 2022-12-16T03:00:57.755800     3.84833333333333
20221216_0000012_03                            DEXfl0731 2022-12-16T03:00:57.755800     3.84833333333333
20221216_0000013_01                             parallel 2022-12-16T03:50:59.220529     3.79055555555556
20221216_0000014_01                            DEXfl0630 2022-12-16T04:05:21.075046     4.21944444444444
20221216_0000014_02                            DEXfl0630 2022-12-16T04:05:21.075046     4.21944444444444
20221216_0000014_03                            DEXfl0630 2022-12-16T04:05:21.075046     4.21944444444444
20221216_0000015_01                            DEXfl1908 2022-12-16T04:35:56.359747                4.285
20221216_0000015_02                            DEXfl1908 2022-12-16T04:35:56.359747                4.285
20221216_0000015_03                            DEXfl1908 2022-12-16T04:35:56.359747                4.285
20221216_0000016_01                               M33_p2 2022-12-16T05:09:11.238698     4.41888888888889
20221216_0000016_02                               M33_p2 2022-12-16T05:09:11.238698     4.41888888888889
20221216_0000016_03                               M33_p2 2022-12-16T05:09:11.238698     4.41888888888889
20221216_0000017_01                               M33_p1 2022-12-16T05:40:13.094267     4.37888888888889
20221216_0000017_02                               M33_p1 2022-12-16T05:40:13.094267     4.37888888888889
20221216_0000017_03                               M33_p1 2022-12-16T05:40:13.094267     4.37888888888889
20221216_0000018_01                             parallel 2022-12-16T06:36:33.466412     4.46277777777778
